dsp_pedon_id,soc_stock_30cm,soc_stock_100cm,dsp_plot_id,dspplotmgt_id,label_full,label,lu,till,trt,explanation,gen_state,site,project,soil,lat,long,ID,mat,map,climate,single_ring_infiltration_1,single_ring_infiltration_2,cornell_infiltrometer,soc_pct,bulk_density,tn_pct,kssl_wsa,yoder_agg_stab_mwd,p_h,soil_respiration,bglucosidase,bglucosaminidase,alkaline_phosphatase,acid_phosphatase,phosphodiesterase,arylsulfatase,pox_c,ace
ASP2-3,98.61762499999999,176.598318875,ASP2,5,SHM - no-till,SHM,CROP,No-till,ASP2,ASP,AG-CROP,CK,WashingtonState,Palouse,46.78188975,-117.0822114,272,8.233333587646484,611,cool_dry,NA,NA,NA,2.3962,0.66,0.18069,19.62,0.99954859,5.55,365.1,53.53384999,136.0864456,4.779400841,93.4795374,7.162067355,27.78779407,181,5.9827
ASP6-1,68.49199999999999,93.26899999999999,ASP6,6,SHM - no-till,SHM,CROP,No-till,ASP6,ASP,AG-CROP,KU,WashingtonState,Palouse,46.78188975,-117.0822114,287,8.233333587646484,611,cool_dry,NA,NA,NA,2.58,0.99,0.19,21.77,12.40780615,5.75,330.8,13.36297206,3.152437428,5.762409199,76.84114627,1.001713449,3.642446361,25.4,6.0379
ASP6-2,54.09,101.735,ASP6,6,SHM - no-till,SHM,CROP,No-till,ASP6,ASP,AG-CROP,KU,WashingtonState,Palouse,46.78188975,-117.0822114,288,8.233333587646484,611,cool_dry,NA,NA,NA,2.41,0.87,0.18,40.9,13.79673011,5.79,290.9,137.0804145,0.232485233,0.586745766,14.25185817,38.24977849,37.30700995,337.2,6.0444
ASP6-3,98.0489,143.9228,ASP6,6,SHM - no-till,SHM,CROP,No-till,ASP6,ASP,AG-CROP,KU,WashingtonState,Palouse,46.78188975,-117.0822114,290,8.233333587646484,611,cool_dry,NA,NA,NA,2.69,1.07,0.2,35.56,54.15938527,5.55,296.6,49.55931496,-0.049707725,13.50164001,3.232268081,44.77533905,64.86118973,369.2,6.4906
ASP9-1,54.139695,185.597135,ASP9,7,SHM - no-till,SHM,CROP,No-till,ASP9,ASP,AG-CROP,PCF,WashingtonState,Palouse,46.75757137,-117.2000596,308,8.493000030517578,542,cool_dry,NA,NA,NA,3.0774,0.91,0.24105,54.87,42.84594163,4.84,336.5,16.89444115,2.382505596,1.231487718,98.92042746,4.697904033,10.87486414,650.3,3.001
ASP9-2,58.405331999999994,144.376131,ASP9,7,SHM - no-till,SHM,CROP,No-till,ASP9,ASP,AG-CROP,PCF,WashingtonState,Palouse,46.75757137,-117.2000596,309,8.493000030517578,542,cool_dry,NA,NA,NA,2.5818,1.07,0.21536,68.49,21.68118664,4.7,216.8,13.17429058,1.002054738,14.9126075,111.1584033,22.67733464,134.3284312,780,8.1892
ASP9-3,65.8435316,91.35774280000001,ASP9,7,SHM - no-till,SHM,CROP,No-till,ASP9,ASP,AG-CROP,PCF,WashingtonState,Palouse,46.74504918,-117.4236807,310,10.14466667175293,455,cool_dry,NA,NA,NA,3.3002,1.07,0.2474,39.12,15.06172713,5.14,319.4,14.21152829,104.1452083,41.92049772,19.02403924,31.69723908,2.479566367,868.8,11.2846
AX1-1,53.43225237425,NA,AX1,8,BAU - Conventional Till,BAU,CROP,Till,Conventional Till,"Conventional tillage with a sorghum, sesame, cotton rotation",AG-CROP,UTRGV1,UTRGV,Hidalgo,26.37183,-97.86129,108,23.07349967956543,673,warm_dry,45.72,4.8768,7.013,1.45,1.468682925,0.0458,0.831946755,0.315132982,7.85,8.148505188,179.5143639,NA,NA,NA,NA,NA,714.204,1.388868
AX1-2,104.70758912710001,NA,AX1,8,BAU - Conventional Till,BAU,CROP,Till,Conventional Till,"Conventional tillage with a sorghum, sesame, cotton rotation",AG-CROP,UTRGV1,UTRGV,Hidalgo,26.376803,-97.861285,109,23.059999465942383,678,warm_dry,33.2509,3.7125,5.652,1.87,1.576974253,0.0538,1.259445844,0.23394337,7.74,20.33027028,142.9282091,NA,NA,NA,NA,NA,715.0896,1.5022416
AX1-3,75.13604887955,NA,AX1,8,BAU - Conventional Till,BAU,CROP,Till,Conventional Till,"Conventional tillage with a sorghum, sesame, cotton rotation",AG-CROP,UTRGV1,UTRGV,Hidalgo,26.381147,-97.861396,110,23.059999465942383,678,warm_dry,41.1892,4.9669,5.832,1.92,1.462175733,0.0517,1.109430156,0.699255329,8.62,7.466181392,127.0873976,NA,NA,NA,NA,NA,713.5128,1.5213216
AX2-1,56.35990597475,NA,AX2,9,BAU - Conventional Till,BAU,CROP,Till,Conventional Till,"Conventional tillage with a cotton, sorghum rotation",AG-CROP,UTRGV2,UTRGV,Hidalgo,26.372257,-97.860439,111,23.07349967956543,673,warm_dry,23.8125,2.1591,6.3,1.35,1.856880627,0.0402,2.483527623,0.460401149,7.81,13.38230061,99.02458057,NA,NA,NA,NA,NA,714.4416,1.5939984
AX2-2,54.70668104765,NA,AX2,9,BAU - Conventional Till,BAU,CROP,Till,Conventional Till,"Conventional tillage with a cotton, sorghum rotation",AG-CROP,UTRGV2,UTRGV,Hidalgo,26.372359,-97.854799,112,23.07349967956543,673,warm_dry,41.189,6.819,10.439,0.94,1.208201004,0.0457,1.694915254,0.109355747,8.32,13.95522785,143.3378853,NA,NA,NA,NA,NA,712.1736,0.7975368
AX2-3,83.78510242784999,NA,AX2,9,BAU - Conventional Till,BAU,CROP,Till,Conventional Till,"Conventional tillage with a cotton, sorghum rotation",AG-CROP,UTRGV2,UTRGV,Hidalgo,26.372348,-97.841816,113,23.07349967956543,673,warm_dry,21.9281,1.6308,1.992,1.92,1.413614599,0.076,2.384576357,0.796172354,8.25,14.53971142,209.1591885,NA,NA,NA,NA,NA,715.3704,1.0740344
AX3-1,77.02132320505,NA,AX3,10,BAU - Conventional Till,BAU,CROP,Till,Conventional Till,"Conventional tillage with a cotton, corn, and sorghum rotation",AG-CROP,UTRGV3,UTRGV,Hidalgo,26.449237,-97.845711,114,22.996166229248047,682,warm_dry,25.2597,5.4171,8.52,1.36,1.668560551,0.0797,0.301659125,0.174680495,8.49,13.24417977,210.5247757,NA,NA,NA,NA,NA,714.9384,1.1569536
AX3-2,97.6561192006,NA,AX3,10,BAU - Conventional Till,BAU,CROP,Till,Conventional Till,"Conventional tillage with a cotton, corn, and sorghum rotation",AG-CROP,UTRGV3,UTRGV,Hidalgo,26.45138326,-97.84310718,115,22.996166229248047,682,warm_dry,4.007,0.9079,2.39,2.3,1.639132504,0.0873,1.255650427,0.350277873,8.39,7.714804453,237.9730784,NA,NA,NA,NA,NA,715.9104,2.365292
AX3-3,59.149796540400004,NA,AX3,10,BAU - Conventional Till,BAU,CROP,Till,Conventional Till,"Conventional tillage with a cotton, corn, and sorghum rotation",AG-CROP,UTRGV3,UTRGV,Hidalgo,26.451224,-97.842418,116,22.996166229248047,682,warm_dry,3.0767,1.0149,1.656,1.22,2.010625176,0.0821,0.453400504,0.085242864,7.93,19.26388894,181.0963714,NA,NA,NA,NA,NA,714.3336,1.3285288
AY1-1,43.03985897439999,NA,AY1,11,BAU - Intermittent Till,BAU,CROP,Till,Intermittent Till,"Strip tillage for 2 years, followed by return to conventional till for herbicide resistant weed management. Sorghum/cotton rotation.",AG-CROP,UTRGV4,UTRGV,Hidalgo,26.429164,-97.87775,117,22.969499588012695,668,warm_dry,31.972,8.8348,10.031,0.94,1.748783544,0.0322,0.15015015,0.246518108,7.62,8.117701581,134.9863201,NA,NA,NA,NA,NA,714.7008,1.2048264
AY1-2,20.85691461685,NA,AY1,11,BAU - Intermittent Till,BAU,CROP,Till,Intermittent Till,"Strip tillage for 2 years, followed by return to conventional till for herbicide resistant weed management. Sorghum/cotton rotation.",AG-CROP,UTRGV4,UTRGV,Hidalgo,26.428431,-97.876675,118,22.969499588012695,668,warm_dry,0.311,0.1657,1.49,0.96,1.113603916,0.0354,2.364185111,0.262465132,7.82,12.35918579,546.0495513,NA,NA,NA,NA,NA,712.6704,1.8542712
AY1-3,48.40432484875,NA,AY1,11,BAU - Intermittent Till,BAU,CROP,Till,Intermittent Till,"Strip tillage for 2 years, followed by return to conventional till for herbicide resistant weed management. Sorghum/cotton rotation.",AG-CROP,UTRGV4,UTRGV,Hidalgo,26.423498,-97.878012,119,22.969499588012695,668,warm_dry,17.7553,2.9497,2.217,1,1.904179171,0.0373,2.056168506,0.162156209,7.33,10.72611219,382.7936012,NA,NA,NA,NA,NA,714.6144,2.1425168
AY2-1,42.24440818495,NA,AY2,12,BAU - Intermittent Till,BAU,CROP,Till,Intermittent Till,"Strip tillage for 3 years, followed by return to conventional till for herbicide resistant weed management. Sorghum/cotton rotation.",AG-CROP,UTRGV5,UTRGV,Hidalgo,26.417867,-97.87736,120,22.969499588012695,668,warm_dry,8.4354,0.753,0.93,0.9,2.034517254,0.058,2.385786802,0.367942657,8.09,10.40355651,104.5552087,NA,NA,NA,NA,NA,715.176,1.3570912
AY2-2,46.540247467899995,NA,AY2,12,BAU - Intermittent Till,BAU,CROP,Till,Intermittent Till,"Strip tillage for 3 years, followed by return to conventional till for herbicide resistant weed management. Sorghum/cotton rotation.",AG-CROP,UTRGV5,UTRGV,Hidalgo,26.408338,-97.877546,121,22.976499557495117,667,warm_dry,14.8683,1.1006,0.69,0.87,1.86727271,0.0664,3.316326531,0.316245288,8.15,16.47799832,112.0659384,NA,NA,NA,NA,NA,715.6728,1.4105912
AY2-3,46.32274701065,NA,AY2,12,BAU - Intermittent Till,BAU,CROP,Till,Intermittent Till,"Strip tillage for 3 years, followed by return to conventional till for herbicide resistant weed management. Sorghum/cotton rotation.",AG-CROP,UTRGV5,UTRGV,Hidalgo,26.408107,-97.867819,122,23.059999465942383,678,warm_dry,0.9531,0.4,1.75,0.85,2.119402115,0.0516,2.178318136,0.141661874,8.47,9.159445247,228.2091299,NA,NA,NA,NA,NA,715.608,1.4546424
AY3-1,51.79236229525,NA,AY3,13,BAU - Intermittent Till,BAU,CROP,Till,Intermittent Till,"Strip tillage for 2 years, followed by return to conventional till for herbicide resistant weed management. Sorghum/cotton rotation.",AG-CROP,UTRGV6,UTRGV,Hidalgo,26.378011,-97.894115,123,22.976499557495117,667,warm_dry,8.7754,0.9645,0.39,0.85,1.609704457,0.0442,2.801833928,0.419039836,8.36,7.47003331,200.7608272,NA,NA,NA,NA,NA,715.0896,1.5753096
AY3-2,56.2664792188,NA,AY3,13,BAU - Intermittent Till,BAU,CROP,Till,Intermittent Till,"Strip tillage for 2 years, followed by return to conventional till for herbicide resistant weed management. Sorghum/cotton rotation.",AG-CROP,UTRGV6,UTRGV,Hidalgo,26.371559,-97.882158,124,23.023332595825195,658,warm_dry,28.6646,2.2622,1.36,0.91,1.810844672,0.035,2.867203219,0.312508003,8.5,11.02492852,220.6766917,NA,NA,NA,NA,NA,715.2192,0.8803736
AY3-3,60.3876926694,NA,AY3,13,BAU - Intermittent Till,BAU,CROP,Till,Intermittent Till,"Strip tillage for 2 years, followed by return to conventional till for herbicide resistant weed management. Sorghum/cotton rotation.",AG-CROP,UTRGV6,UTRGV,Hidalgo,26.371856,-97.881485,125,23.023332595825195,658,warm_dry,56.795,8.3967,10.85,0.96,1.895243923,0.0402,1.867743564,0.270361943,8.29,14.41980203,360.3979711,NA,NA,NA,NA,NA,716.3424,0.9599848
AZ1-1,61.8286860443,NA,AZ1,14,BAU - Strip Till,BAU,CROP,Till,Strip Till,Strip tillage for 4 years with a cotton/sorghum rotation.,AG-CROP,UTRGV7,UTRGV,Hidalgo,26.442916,-97.814156,126,22.976333618164063,690,warm_dry,5.8503,0.782,2.71,1.52,2.085700689,0.0135,5.733824303,0.36038747,8.17,11.8304962,122.5809598,NA,NA,NA,NA,NA,717.7248,0.9954056
AZ1-2,52.87059914875,NA,AZ1,14,BAU - Strip Till,BAU,CROP,Till,Strip Till,Strip tillage for 4 years with a cotton/sorghum rotation.,AG-CROP,UTRGV7,UTRGV,Hidalgo,26.440373,-97.81413,127,22.976333618164063,690,warm_dry,31.972,1.427,4.43,1.17,2.147081961,0.0292,7.276119403,0.958131696,8.26,13.918079,188.6071011,NA,NA,NA,NA,NA,717.5952,2.0844704
AZ1-3,45.2323455958,NA,AZ1,14,BAU - Strip Till,BAU,CROP,Till,Strip Till,Strip tillage for 4 years with a cotton/sorghum rotation.,AG-CROP,UTRGV7,UTRGV,Hidalgo,26.441954,-97.814157,128,22.976333618164063,690,warm_dry,11.473,1.5617,2.69,0.88,2.332002758,0.109,2.115282919,0.228168151,8.26,8.302709611,172.0834959,NA,NA,NA,NA,NA,715.932,1.7153416
AZ2-1,29.676456593,NA,AZ2,15,BAU - Strip Till,BAU,CROP,Till,Strip Till,Strip tillage for 3 years with a cotton/sorghum rotation.,AG-CROP,UTRGV8,UTRGV,Hidalgo,26.358343,-97.857232,129,23.07349967956543,673,warm_dry,15.4983,1.9758,3.262,0.86,1.233938405,0.0607,0.961538462,0.150109555,8.5,10.90840613,220.7666797,NA,NA,NA,NA,NA,714.5064,1.3975872
AZ2-2,29.048444585450003,NA,AZ2,15,BAU - Strip Till,BAU,CROP,Till,Strip Till,Strip tillage for 3 years with a cotton/sorghum rotation.,AG-CROP,UTRGV8,UTRGV,Hidalgo,26.358388,-97.846311,130,23.07349967956543,673,warm_dry,44.6049,7.3861,1.76,0.95,1.241805309,0.0047,1.056338028,0.373984231,8.24,13.18900519,106.125634,NA,NA,NA,NA,NA,715.716,1.3189288
AZ2-3,43.81382147275,NA,AZ2,15,BAU - Strip Till,BAU,CROP,Till,Strip Till,Strip tillage for 3 years with a cotton/sorghum rotation.,AG-CROP,UTRGV8,UTRGV,Hidalgo,26.36504,-97.85824,131,23.07349967956543,673,warm_dry,22.4668,8.0706,6.81,1.11,1.344269301,0.013,4.422869471,0.714687361,7.97,15.41756517,177.6141241,NA,NA,NA,NA,NA,716.04,1.0862904
AZ3-1,34.897414607900004,NA,AZ3,16,BAU - Strip Till,BAU,CROP,Till,Strip Till,"Strip tillage for 6 years with a cotton/sorghum rotation, Sunn hemp cover crop 1 year before sampling.",AG-CROP,UTRGV9,UTRGV,Hidalgo,26.389298,-97.852623,132,23.059999465942383,678,warm_dry,117.2308,3.0592,17.16,1.36,1.695851908,0.0111,2.008238929,0.328806678,8.34,12.92879594,78.13109637,NA,NA,NA,NA,NA,715.4784,1.7625536
AZ3-2,31.359774870249996,NA,AZ3,16,BAU - Strip Till,BAU,CROP,Till,Strip Till,"Strip tillage for 6 years with a cotton/sorghum rotation, Sunn hemp cover crop 1 year before sampling.",AG-CROP,UTRGV9,UTRGV,Hidalgo,26.387731,-97.852666,133,23.059999465942383,678,warm_dry,81.6429,8.9735,11.28,1.23,1.401862805,0.0157,0.514933059,0.377848434,8.22,21.65412007,36.68552478,NA,NA,NA,NA,NA,715.9968,1.864928
AZ3-3,38.64680516429999,NA,AZ3,16,BAU - Strip Till,BAU,CROP,Till,Strip Till,"Strip tillage for 6 years with a cotton/sorghum rotation, Sunn hemp cover crop 1 year before sampling.",AG-CROP,UTRGV9,UTRGV,Hidalgo,26.387833,-97.849146,134,23.059999465942383,678,warm_dry,77.4915,11.2472,18.2,1.16,1.336596642,0.0329,1.898409441,0.239543276,8.21,3.102792662,40.03121342,NA,NA,NA,NA,NA,715.9968,1.2233744
BAU3-1,37.4092,69.7324,BAU3,17,BAU,BAU,CROP,Till,BAU3,BAU,AG-CROP,KU,WashingtonState,Palouse,46.78188975,-117.0822114,291,8.233333587646484,611,cool_dry,NA,NA,NA,2.05,0.77,0.15,12.4,9.927222169,6.13,325.1,88.51679472,65.86847891,0.039703535,25.37952236,90.48324555,1.511051432,279.4,4.3861
BAU3-2,34.0403,74.1475,BAU3,17,BAU,BAU,CROP,Till,BAU3,BAU,AG-CROP,KU,WashingtonState,Palouse,46.74504916,-117.4236809,292,10.14466667175293,455,cool_dry,NA,NA,NA,1.75,0.72,0.13,13.14,3.53683371,5.84,308,23.34964471,128.7698575,5.848384824,77.21936041,69.85423867,1.981013306,239.1,3.8341
BAU3-3,31.732,60.981100000000005,BAU3,17,BAU,BAU,CROP,Till,BAU3,BAU,AG-CROP,KU,WashingtonState,Palouse,46.74504916,-117.4236809,293,10.14466667175293,455,cool_dry,NA,NA,NA,1.9,0.72,0.14,17.91,3.860439531,6.22,325.1,11.6185992,68.79980323,9.667618469,4.025501918,13.89118915,143.6576659,217.5,4.7738
BAU8-1,144.09200444444443,190.86950444444443,BAU8,18,BAU,BAU,CROP,Till,BAU8,BAU,AG-CROP,LYM,WashingtonState,Palouse,46.74504916,-117.4236809,294,10.14466667175293,455,cool_dry,NA,NA,NA,2.057,NA,0.15587,32.33,1.563545785,7.18,159.7,22.89876274,86.21527327,25.95848402,80.81685315,89.50641113,4.837973885,210.5,5.6125
BAU8-2,101.47709703703703,227.65233903703702,BAU8,18,BAU,BAU,CROP,Till,BAU8,BAU,AG-CROP,LYM,WashingtonState,Palouse,46.74504915,-117.4236809,295,10.14466667175293,455,cool_dry,NA,NA,NA,2.0435,NA,0.16798,30.54,1.23007232,6.83,171.1,57.19692007,149.9374094,13.45972331,7.878736917,86.49351729,16.45038578,143.2,12.6425
BAU8-3,125.47024044444444,192.749944765873,BAU8,18,BAU,BAU,CROP,Till,BAU8,BAU,AG-CROP,LYM,WashingtonState,Palouse,46.74504922,-117.4236808,296,10.14466667175293,455,cool_dry,NA,NA,NA,2.4254,NA,0.18565,35.4,3.639393645,7.05,188.2,120.3543663,54.41143113,54.1426535,3.536319871,55.13544477,17.09875096,60.9,11.9638
BAU9-1,46.177931,113.02985419999999,BAU9,19,BAU,BAU,CROP,Till,BAU9,BAU,AG-CROP,CK,WashingtonState,Palouse,46.78188975,-117.0822114,273,8.233333587646484,611,cool_dry,NA,NA,NA,1.4886,0.79,0.12304,21.76,1.939003696,5.58,325.1,545.3756475,1012.002893,1012.002893,800.4740205,2638.992267,857.132712,178.4,4.5998
BAU9-2,46.146452,97.36772500000001,BAU9,19,BAU,BAU,CROP,Till,BAU9,BAU,AG-CROP,CK,WashingtonState,Palouse,46.78188975,-117.0822114,274,8.233333587646484,611,cool_dry,NA,NA,NA,1.5816,0.7,0.12801,20.36,0.390088499,5.71,245.3,137.0165618,52.63690862,3.715893793,4.402069622,12.68997837,53.50453477,203,4.3951
