PLFA_ID,proj_id,submit_proj_name,lab_proj_name,lims_site_id,lims_pedon_id,user_pedon_id,lay_id,natural_key,horizon_designation,lay_depth_to_top,lay_depth_to_bottom,lay_field_label1,lay_field_label2,lay_field_label3,clay_tot_psa,silt_tot_psa,sand_tot_psa,co3_cly,silt_f_psa,silt_c_psa,sand_vf_psa,sand_f_psa,sand_m_psa,sand_c_psa,sand_vc_psa,tex_psda,adod,caco3,ph_cacl2,ph_h2o,CKMnO4,PNitroBGlu,ag_stab,c_tot_ncs,n_tot_ncs,s_tot_ncs,estimated_organic_C,DSP_Pedon,user_site_id
NC-183-SWSHA-C2B-10_34-03232018,5194,DSP for Soil Health - NC State Lake Wheeler Farm,I2018USNC077,NA,NA,NA,191281,18N05160,A/B,10,34,C2B 10-34,7.5YR 4/6,NA,18.3,11,70.7,NA,8.1,2.9,9.7,25.6,20.4,9.2,5.8,sl,1.009,NA,5.2,5.9,363,12,4,0.65,0.06,0.02,0.7,C2B,NULL
NC-183-SWSHA-C2C-0_5-03232018,5194,DSP for Soil Health - NC State Lake Wheeler Farm,I2018USNC077,NA,NA,NA,191282,18N05161,Ap1,0,5,C2C 0-5,10YR 3/3,NA,34.1,11.9,54,NA,9.2,2.7,6.3,17.3,15.8,9.8,4.8,scl,1.021,NA,6.1,6.4,1100.6,146,32,2.54,0.22,0.04,2.5,C2C,NULL
NC-183-SWSHA-C2C-5_10-03232018,5194,DSP for Soil Health - NC State Lake Wheeler Farm,I2018USNC077,NA,NA,NA,191283,18N05162,Ap2,5,10,C2C 5-10,7.5YR 3/3,NA,34.8,13.6,51.6,NA,10.6,3,5.3,15.2,13.2,10.4,7.5,scl,1.02,NA,6,6.5,1028.5,144,28,2.18,0.2,0.04,2.2,C2C,NULL
NC-183-SWSHA-C3A-0_5-03232018,5194,DSP for Soil Health - NC State Lake Wheeler Farm,I2018USNC077,NA,NA,NA,191284,18N05163,Ap1,0,5,C3A 0-5,10YR 3/4,NA,25,14.4,60.6,NA,12.6,1.8,7.2,21.7,19.1,9,3.6,scl,1.017,NA,5.7,6.3,1025.9,130,12,2.78,0.19,0.04,2.8,C3A,NULL
NC-183-SWSHA-C3A-05_10R-03232018,5194,DSP for Soil Health - NC State Lake Wheeler Farm,I2018USNC077,NA,NA,NA,191285,18N05164,Ap2,5,10,C3A 5-10,10YR 3/4,NA,25.2,19.5,55.3,NA,13.5,6,7,20.4,16.5,8.5,2.9,scl,1.017,0,5.6,6.1,1025.3,122,12,2.65,0.19,0.04,2.6,C3A,NULL
NC-183-SWSHA-C3B-0_5-03232018,5194,DSP for Soil Health - NC State Lake Wheeler Farm,I2018USNC077,NA,NA,NA,191286,18N05165,Ap1,0,5,C3B 0-5,10YR 3/4,NA,26.2,14,59.8,NA,12,2,7.5,22.8,18.3,9.4,1.8,scl,1.021,NA,6.1,6.6,1028,129,36,2.77,0.19,0.05,2.8,C3B,NULL
NC-183-SWSHA-C3B-5_10-03232018,5194,DSP for Soil Health - NC State Lake Wheeler Farm,I2018USNC077,NA,NA,NA,191287,18N05166,Ap2,5,10,C3B 5-10,10YR 3/4,NA,30.3,15.5,54.2,NA,13.3,2.2,7.2,20.3,14.9,8,3.8,scl,1.018,NA,5.5,6.1,878.5,71,46,2.27,0.15,0.04,2.3,C3B,NULL
NC-183-SWSHA-C3C-0_5-03232018,5194,DSP for Soil Health - NC State Lake Wheeler Farm,I2018USNC077,NA,NA,NA,191288,18N05167,Ap1,0,5,C3C 0-5,10YR 3/3,NA,26.1,15.8,58.1,NA,12.9,2.9,8.1,24.5,16.3,6.3,2.9,scl,1.018,NA,5.8,6.2,953.3,91,34,2.45,0.16,0.04,2.5,C3C,NULL
NC-183-SWSHA-C3C-05_10R-03232018,5194,DSP for Soil Health - NC State Lake Wheeler Farm,I2018USNC077,NA,NA,NA,191289,18N05168,Ap2,5,10,C3C 5-10,10YR 3/4; 5YR 5/8,NA,26,15.6,58.4,NA,13.1,2.5,9.4,23.2,15.6,7.1,3.1,scl,1.017,NA,5.8,6.3,953.3,88,32,2.45,0.16,0.04,2.5,C3C,NULL
NC-183-SWSHA-F3B-0_5-03232018,5194,DSP for Soil Health - NC State Lake Wheeler Farm,I2018USNC077,NA,NA,NA,191290,18N05169,Ap1,0,5,F3B 0-5,10YR 2/2,NA,3.8,15.7,80.5,NA,9.6,6.1,12,27.5,24.4,12.8,3.8,ls,1.011,NA,4.1,4.6,947.8,66,75,3.04,0.17,0.03,3,F3B,NULL
NC-183-SWSHA-F3B-5_10-03232018,5194,DSP for Soil Health - NC State Lake Wheeler Farm,I2018USNC077,NA,NA,NA,191291,18N05170,Ap2,5,10,F3B 5-10,10YR 2/2,NA,4,16.1,79.9,NA,9.8,6.3,11.8,26.3,24.2,13.5,4.1,ls,1.006,NA,4.2,4.9,579,20,66,1.23,0.08,0.02,1.2,F3B,NULL
NC-183-SWSHA-F3PIT-0_5R-03232018,5194,DSP for Soil Health - NC State Lake Wheeler Farm,I2018USNC077,NA,NA,NA,191292,18N05171,A,0,5,F3PIT 0-5,10YR 2/2,NA,17.1,16.1,66.8,NA,10.5,5.6,9.5,24.4,19.2,9.5,4.2,sl,1.049,NA,3.7,4.2,1509.6,171,84,11.48,0.5,0.06,11.5,F3PIT,NULL
NC-183-SWSHA-P1A-0_5-03192018,5194,DSP for Soil Health - NC State Lake Wheeler Farm,I2018USNC077,NA,NA,NA,191293,18N05172,B,5,10,F3PIT 5-10,5YR 4/6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,F3PIT,NULL
NC-183-SWSHA-P1A-05_10-03192018,5194,DSP for Soil Health - NC State Lake Wheeler Farm,I2018USNC077,NA,NA,NA,191294,18N05173,Ap1,0,5,P1A 0-5,10YR 3/4,NA,12.6,29.8,57.6,NA,7.4,22.4,5.3,26.9,20.2,4.7,0.5,fsl,1.014,NA,4.9,5.4,950.6,131,78,2.85,0.25,0.04,2.9,P1A,NULL
NC-183-SWSHA-P1A-10_44-03192018,5194,DSP for Soil Health - NC State Lake Wheeler Farm,I2018USNC077,NA,NA,NA,191296,18N05174,Ap2,5,10,P1A 5-10,10YR 4/4,NA,10.3,7.3,82.4,NA,7.1,0.2,7.2,32.4,29.4,11.1,2.3,ls,1.01,NA,5.2,5.7,726.3,44,79,1.58,0.15,0.04,1.6,P1A,NULL
NC-183-SWSHA-P1B-0_5-03192018,5194,DSP for Soil Health - NC State Lake Wheeler Farm,I2018USNC077,NA,NA,NA,191295,18N05175,BA,10,44,P1A 10-44,10YR 4/4; 7.5YR 5/6,NA,8.1,9.4,82.5,NA,6.9,2.5,8.7,33.4,27.9,10.2,2.3,ls,1.024,NA,5.6,6.3,221.5,2,9,0.53,0.03,0.02,0.5,P1B,NULL
NC-183-SWSHA-P1B-05_10R-03192018,5194,DSP for Soil Health - NC State Lake Wheeler Farm,I2018USNC077,NA,NA,NA,191297,18N05176,Ap1,0,5,P1B 0-5,7.5YR 3/4,NA,18.6,13.5,67.9,NA,9.8,3.7,10,35.4,17.3,3.6,1.6,fsl,1.005,NA,5.1,5.9,1230.5,161,74,4.92,0.4,0.05,4.9,P1B,NULL
NC-183-SWSHA-P1B-10_23R-03192018,5194,DSP for Soil Health - NC State Lake Wheeler Farm,I2018USNC077,NA,NA,NA,191298,18N05177,Ap2,5,10,P1B 5-10,7.5YR 4/4,NA,18.4,11.2,70.4,NA,7.3,3.9,10.6,34.2,14.2,5.6,5.8,fsl,1.019,NA,5.3,5.9,1027.2,56,78,3.66,0.28,0.04,3.7,P1B,NULL
NA,5194,DSP for Soil Health - NC State Lake Wheeler Farm,I2018USNC077,NA,NA,NA,191299,18N05178,BA,10,23,P1B 10-23,5YR 4/6,NA,18.6,13.2,68.2,NA,9.8,3.4,9.9,33.1,16.6,4.7,3.9,fsl,1.014,NA,5.7,6.2,583.8,11,27,2,0.1,0.03,2,P1PIT,NULL
NC-183-SWSHA-P1PIT-0_5-03192018,5194,DSP for Soil Health - NC State Lake Wheeler Farm,I2018USNC077,NA,NA,NA,191300,18N05179,Ap1,0,5,P1PIT 0-5,7.5YR 3/4,NA,30.9,11.1,58,NA,6.9,4.2,11,31,12.8,2.3,0.9,scl,1.024,NA,4.5,5.1,1255.2,182,77,4.92,0.45,0.06,4.9,P1PIT,NULL
NC-183-SWSHA-P1PIT-05_10-03192018,5194,DSP for Soil Health - NC State Lake Wheeler Farm,I2018USNC077,NA,NA,NA,191301,18N05180,Ap2,5,10,P1PIT 5-10,7.5YR 4/4,NA,27.9,9.5,62.6,NA,6.6,2.9,9.5,29.8,13.2,4.5,5.6,scl,1.016,NA,4.7,5.2,877.9,97,70,2.45,0.23,0.04,2.5,P1PIT,NULL
NC-183-SWSHA-P2A-0_5-03192018,5194,DSP for Soil Health - NC State Lake Wheeler Farm,I2018USNC077,NA,NA,NA,191302,18N05181,Ap1,0,5,P2A 0-5,10YR 3/3,NA,7.8,16.3,75.9,NA,10.1,6.2,9.8,27.3,24.6,11.9,2.3,sl,1.01,NA,5.1,5.7,945.8,166,69,2.32,0.21,0.03,2.3,P2A,NULL
NC-183-SWSHA-P2A-05_10-03192018,5194,DSP for Soil Health - NC State Lake Wheeler Farm,I2018USNC077,NA,NA,NA,191303,18N05182,Ap2,5,10,P2A 5-10,7.5YR 3/4,NA,7.6,16.1,76.3,NA,10.1,6,8.9,24.7,25.8,12.1,4.8,sl,1.009,NA,5.1,5.7,725.7,100,71,1.81,0.16,0.03,1.8,P2A,NULL
NC-183-SWSHA-P2B-0_5-03192018,5194,DSP for Soil Health - NC State Lake Wheeler Farm,I2018USNC077,NA,NA,NA,191304,18N05183,Ap1,0,5,P2B 0-5,10YR 3/3,NA,10.5,13.9,75.6,NA,8.5,5.4,9.6,26,26.7,11.7,1.6,sl,1.011,NA,5.2,5.9,947.8,129,71,2.3,0.23,0.04,2.3,P2B,NULL
NC-183-SWSHA-P2B-05_10-03192018,5194,DSP for Soil Health - NC State Lake Wheeler Farm,I2018USNC077,NA,NA,NA,191305,18N05184,Ap2,5,10,P2B 5-10,7.5YR 3/4,NA,9.4,15,75.6,NA,10.6,4.4,9.9,26.7,24,12,3,sl,1.009,NA,5.1,5.7,728.2,77,67,1.83,0.18,0.03,1.8,P2B,NULL
NC-183-SWSHA-P2C-0_5-03192018,5194,DSP for Soil Health - NC State Lake Wheeler Farm,I2018USNC077,NA,NA,NA,191306,18N05185,Ap1,0,5,P2C 0-5,10YR 4/4,NA,18.1,16.7,65.2,NA,11.5,5.2,9.9,22.9,21.6,10.1,0.7,sl,1.02,NA,5.4,6.1,1029,224,71,3.41,0.3,0.05,3.4,P2C,NULL
NC-183-SWSHA-P2C-05_10-03192018,5194,DSP for Soil Health - NC State Lake Wheeler Farm,I2018USNC077,NA,NA,NA,191307,18N05186,Ap2,5,10,P2C 5-10,10YR 4/3,NA,19.2,16.3,64.5,NA,10.8,5.5,8.5,21.4,21,10.6,3,sl,1.015,NA,5.4,6.2,803.9,65,68,2,0.18,0.03,2,P2C,NULL
NC-183-SWSHA-P3A-0_5-03192018,5194,DSP for Soil Health - NC State Lake Wheeler Farm,I2018USNC077,NA,NA,NA,191308,18N05187,Ap1,0,5,P3A 0-5,10YR 4/3,NA,21.9,17.6,60.5,NA,13,4.6,8.2,20.4,20.2,9.4,2.3,scl,1.021,NA,5.3,6,954.7,160,70,3.01,0.29,0.04,3,P3A,NULL
NC-183-SWSHA-P3A-05_10-03192018,5194,DSP for Soil Health - NC State Lake Wheeler Farm,I2018USNC077,NA,NA,NA,191309,18N05188,Ap2,5,10,P3A 5-10,10YR 4/3,NA,22,20.3,57.7,NA,13.9,6.4,9.7,21.8,16.6,7.3,2.3,scl,1.016,NA,5.3,5.8,732.7,79,68,1.82,0.18,0.03,1.8,P3A,NULL
NC-183-SWSHA-P3A-10_20-03192018,5194,DSP for Soil Health - NC State Lake Wheeler Farm,I2018USNC077,NA,NA,NA,191310,18N05189,B/A,10,20,P3A 10-20,7.5YR 4/4,NA,22.8,20.3,56.9,NA,14.2,6.1,8.3,19.1,15.9,8.9,4.7,scl,1.015,NA,5.3,5.9,438.4,21,47,1.12,0.1,0.03,1.1,P3A,NULL
NC-183-SWSHA-P3B-0_5-03192018,5194,DSP for Soil Health - NC State Lake Wheeler Farm,I2018USNC077,NA,NA,NA,191311,18N05190,Ap1,0,5,P3B 0-5,10YR 4/3,NA,9.7,13.2,77.1,NA,7.7,5.5,13.2,32.5,23.2,6.8,1.4,fsl,1.013,NA,4.7,5.3,873.5,126,61,2.04,0.19,0.03,2,P3B,NULL
NC-183-SWSHA-P3B-05_10-03192018,5194,DSP for Soil Health - NC State Lake Wheeler Farm,I2018USNC077,NA,NA,NA,191312,18N05191,Ap2,5,10,P3B 5-10,10YR 4/3,NA,9,15.3,75.7,NA,9.8,5.5,11.6,32.9,22,6.5,2.7,fsl,1.01,NA,4.8,5.5,655,50,48,1.3,0.13,0.03,1.3,P3B,NULL
NC-183-SWSHA-P3B-10_24-03192018,5194,DSP for Soil Health - NC State Lake Wheeler Farm,I2018USNC077,NA,NA,NA,191313,18N05192,BA,10,24,P3B 10-24,7.5YR 4/4,NA,14,13.8,72.2,NA,8.9,4.9,12.9,31.5,19.3,6.5,2,fsl,1.01,0,5.1,5.7,363.8,2,15,0.47,0.05,0.02,0.5,P3B,NULL
NC-183-SWSHA-P3C-0_5-03192018,5194,DSP for Soil Health - NC State Lake Wheeler Farm,I2018USNC077,NA,NA,NA,191314,18N05193,Ap1,0,5,P3C 0-5,10YR 3/4,NA,12.5,15.5,72,NA,8.9,6.6,10.9,28.2,21.6,8.7,2.6,sl,1.014,NA,5.5,6.1,987.3,179,73,2.42,0.22,0.03,2.4,P3C,NULL
NC-183-SWSHA-P3C-05_10-03192018,5194,DSP for Soil Health - NC State Lake Wheeler Farm,I2018USNC077,NA,NA,NA,191315,18N05194,Ap2,5,10,P3C 5-10,10YR4/4,NA,13,16.7,70.3,NA,9.7,7,10.3,24.7,23.2,6.5,5.6,sl,1.01,NA,5.2,5.8,582.9,60,53,1.32,0.11,0.02,1.3,P3C,NULL
NC-183-SWSHA-P3C-10_20-03192018,5194,DSP for Soil Health - NC State Lake Wheeler Farm,I2018USNC077,NA,NA,NA,191316,18N05195,^A/B,10,20,P3C 10-20,10YR 4/4; 7.5YR 5/6,NA,17,15.3,67.7,NA,9,6.3,10.7,26.5,19.4,6.8,4.3,sl,1.009,0,5.1,5.8,362.7,10,17,0.72,0.07,0.02,0.7,P3C,NULL
TX-375-SWSHA-01-A-05152018,5201,DSP for Soil Health - Texas A&M Pt 1,I2018USTX083,32648,38989,TXHP_1,191989,18N05268,NA,0,5,1A,NA,NA,26.8,57.6,15.6,NA,21.8,35.8,14,1.5,0.1,0,0,sil,1.037,NA,5.9,6.3,969.5,278,33,2.65,0.24,0.01,2.7,TXHP_1,TXHP_1
TX-375-SWSHA-01-B-05152018,5201,DSP for Soil Health - Texas A&M Pt 1,I2018USTX083,32648,38989,TXHP_1,191990,18N05269,NA,5,10,1B,NA,NA,30.4,51.7,17.9,NA,21.8,29.9,15.9,1.8,0.2,0,0,sicl,1.039,NA,6.3,6.9,598.7,116,36,1.42,0.15,0.01,1.4,TXHP_1,TXHP_1
TX-375-SWSHA-01-C-05152018,5201,DSP for Soil Health - Texas A&M Pt 1,I2018USTX083,32648,38989,TXHP_1,191991,18N05270,NA,10,28,1C,NA,NA,43.8,39.1,17.1,NA,17.5,21.6,14.9,1.9,0.3,0,0,c,1.06,NA,6.6,7,458.5,73,26,1.07,0.12,0.01,1.1,TXHP_1,TXHP_1
TX-375-SWSHA-02-A-05152018,5201,DSP for Soil Health - Texas A&M Pt 1,I2018USTX083,32649,38990,TXHP_2,191992,18N05271,NA,0,5,2A,NA,NA,27.1,56.5,16.4,NA,21,35.5,15.1,1.2,0.1,0,0,sicl,1.035,NA,6,6.5,856.1,158,40,2.24,0.21,0.01,2.2,TXHP_2,TXHP_2
TX-375-SWSHA-02-B-05152018,5201,DSP for Soil Health - Texas A&M Pt 1,I2018USTX083,32649,38990,TXHP_2,191993,18N05272,NA,5,10,2B,NA,NA,28.6,50.2,21.2,NA,20.2,30,18.4,2.6,0.2,0,0,cl,1.036,NA,6.2,6.7,521.3,113,41,1.35,0.13,0.01,1.4,TXHP_2,TXHP_2
TX-375-SWSHA-02-C-05152018,5201,DSP for Soil Health - Texas A&M Pt 1,I2018USTX083,32649,38990,TXHP_2,191994,18N05273,NA,10,28,2C,NA,NA,45.7,38.7,15.6,NA,17.2,21.5,13.6,1.8,0.2,0,0,c,1.062,NA,6.7,7.2,381.8,54,28,0.88,0.1,0.01,0.9,TXHP_2,TXHP_2
TX-375-SWSHA-03-A-05152018,5201,DSP for Soil Health - Texas A&M Pt 1,I2018USTX083,32650,38991,TXHP_3,191995,18N05274,NA,0,5,3A,NA,NA,27.2,56.5,16.3,NA,21.5,35,15,1.2,0.1,0,0,sicl,1.037,NA,6.3,6.7,845.6,144,25,2.11,0.21,0.01,2.1,TXHP_3,TXHP_3
TX-375-SWSHA-03-B-05152018,5201,DSP for Soil Health - Texas A&M Pt 1,I2018USTX083,32650,38991,TXHP_3,191996,18N05275,NA,5,10,3B,NA,NA,32.9,46.2,20.9,NA,19.1,27.1,18.4,2.2,0.3,0,0,cl,1.041,NA,6.7,7.2,523.9,63,48,1.22,0.14,0.01,1.2,TXHP_3,TXHP_3
TX-375-SWSHA-03-C-05152018,5201,DSP for Soil Health - Texas A&M Pt 1,I2018USTX083,32650,38991,TXHP_3,191997,18N05276,NA,10,28,3C,NA,NA,45.9,38.1,16,NA,17.3,20.8,13.8,2,0.2,0,0,c,1.06,NA,6.8,7.3,305.4,52,20,0.92,0.1,0.01,0.9,TXHP_3,TXHP_3
TX-375-SWSHA-04-A-05152018,5201,DSP for Soil Health - Texas A&M Pt 1,I2018USTX083,32651,38992,TXHP_4,191998,18N05277,NA,0,5,4A,NA,NA,32.2,50.8,17,NA,20.4,30.4,14.9,1.8,0.2,0.1,0,sicl,1.038,NA,5.9,6.9,971.7,316,20,2.89,0.27,0.02,2.9,TXHP_4,TXHP_4
TX-375-SWSHA-04-B-05152018,5201,DSP for Soil Health - Texas A&M Pt 1,I2018USTX083,32651,38992,TXHP_4,191999,18N05278,NA,5,10,4B,NA,NA,36.7,45.9,17.4,NA,19.3,26.6,15.2,2,0.2,0,0,sicl,1.043,NA,6.4,6.9,526.6,97,19,1.27,0.13,0.01,1.3,TXHP_4,TXHP_4
TX-375-SWSHA-04-C-05152018,5201,DSP for Soil Health - Texas A&M Pt 1,I2018USTX083,32651,38992,TXHP_4,192000,18N05279,NA,10,28,4C,NA,NA,47.1,39.2,13.7,NA,18.3,20.9,12.1,1.3,0.2,0,0.1,c,1.063,NA,6.7,7.3,382.5,59,17,0.94,0.09,0,0.9,TXHP_4,TXHP_4
TX-375-SWSHA-05-A-05152018,5201,DSP for Soil Health - Texas A&M Pt 1,I2018USTX083,32652,38993,TXHP_5,192001,18N05280,NA,0,5,5A,NA,NA,31.1,49.9,19,NA,19.5,30.4,16.2,2.6,0.2,0,0,sicl,1.037,NA,5.8,6.3,970.5,262,28,2.68,0.25,0.02,2.7,TXHP_5,TXHP_5
TX-375-SWSHA-05-B-05152018,5201,DSP for Soil Health - Texas A&M Pt 1,I2018USTX083,32652,38993,TXHP_5,192002,18N05281,NA,5,10,5B,NA,NA,35.8,45.2,19,NA,18.8,26.4,16.5,2.2,0.2,0.1,0,sicl,1.044,NA,6.3,6.9,602.1,120,22,1.34,0.14,0.01,1.3,TXHP_5,TXHP_5
TX-375-SWSHA-05-C-05152018,5201,DSP for Soil Health - Texas A&M Pt 1,I2018USTX083,32652,38993,TXHP_5,192003,18N05282,NA,10,28,5C,NA,NA,45.8,38.8,15.4,NA,18.6,20.2,13.6,1.7,0.1,0,0,c,1.06,NA,6.7,7.3,382.2,48,13,0.84,0.08,0.01,0.8,TXHP_5,TXHP_5
TX-375-SWSHA-06-A-05152018,5201,DSP for Soil Health - Texas A&M Pt 1,I2018USTX083,32653,38994,TXHP_6,192004,18N05283,NA,0,5,6A,NA,NA,30.9,49.9,19.2,NA,20.2,29.7,16.3,2.6,0.3,0,0,sicl,1.04,NA,5.7,6.2,1234.1,378,32,4.26,0.43,0.03,4.3,TXHP_6,TXHP_6
TX-375-SWSHA-06-B-05152018,5201,DSP for Soil Health - Texas A&M Pt 1,I2018USTX083,32653,38994,TXHP_6,192005,18N05284,NA,5,10,6B,NA,NA,33.3,47.5,19.2,NA,19.6,27.9,16.7,2.1,0.3,0.1,0,sicl,1.039,NA,5.9,6.5,522,133,29,1.53,0.18,0.01,1.5,TXHP_6,TXHP_6
TX-375-SWSHA-06-C-05152018,5201,DSP for Soil Health - Texas A&M Pt 1,I2018USTX083,32653,38994,TXHP_6,192006,18N05285,NA,10,28,6C,NA,NA,44.8,38.8,16.4,NA,19.4,19.4,14.2,1.9,0.3,0,0,c,1.061,NA,6.8,7.4,305,46,22,0.98,0.14,0.01,1,TXHP_6,TXHP_6
TX-375-SWSHA-07-A-05152018,5201,DSP for Soil Health - Texas A&M Pt 1,I2018USTX083,32654,38995,TXHP_7,192007,18N05286,NA,0,5,7A,NA,NA,34.7,46.4,18.9,NA,19.6,26.8,16.6,2,0.3,0,0,sicl,1.041,NA,6,6.6,499.4,104,3,1.01,0.14,0.01,1,TXHP_7,TXHP_7
TX-375-SWSHA-07-B-05152018,5201,DSP for Soil Health - Texas A&M Pt 1,I2018USTX083,32654,38995,TXHP_7,192008,18N05287,NA,5,10,7B,NA,NA,37.2,44.7,18.1,NA,18.3,26.4,15.3,2.6,0.2,0,0,sicl,1.044,NA,5.9,6.5,301.4,48,3,0.82,0.11,0.01,0.8,TXHP_7,TXHP_7
TX-375-SWSHA-07-C-05152018,5201,DSP for Soil Health - Texas A&M Pt 1,I2018USTX083,32654,38995,TXHP_7,192009,18N05288,NA,10,28,7C,NA,NA,44.2,41.6,14.2,NA,19.7,21.9,12.4,1.6,0.2,0,0,sic,1.057,NA,6.9,7.4,227.9,22,11,0.71,0.12,0,0.7,TXHP_7,TXHP_7
TX-375-SWSHA-08-A-05152018,5201,DSP for Soil Health - Texas A&M Pt 1,I2018USTX083,32655,38996,TXHP_8,192010,18N05289,NA,0,5,8A,NA,NA,34,47.6,18.4,NA,19.6,28,16.5,1.7,0.2,0,0,sicl,1.039,NA,5.5,6.1,524.1,125,10,1.4,0.17,0.01,1.4,TXHP_8,TXHP_8
TX-375-SWSHA-08-B-05152018,5201,DSP for Soil Health - Texas A&M Pt 1,I2018USTX083,32655,38996,TXHP_8,192011,18N05290,NA,5,10,8B,NA,NA,37.4,46.1,16.5,NA,20,26.1,14.8,1.6,0.1,0,0,sicl,1.045,NA,6,6.6,376.2,64,5,0.95,0.14,0.01,1,TXHP_8,TXHP_8
TX-375-SWSHA-08-C-05152018,5201,DSP for Soil Health - Texas A&M Pt 1,I2018USTX083,32655,38996,TXHP_8,192012,18N05291,NA,10,28,8C,NA,NA,45.5,41.3,13.2,NA,19.9,21.4,11.6,1.5,0.1,0,0,sic,1.06,NA,6.7,7.2,305.6,28,4,0.8,0.11,0,0.8,TXHP_8,TXHP_8
