dsp_pedon_id,label_full,label,lu,till,trt,explanation,state,project,soil,site,lat,long
WoNT1 - 1,SHM - No-till,SHM,CROP,No-till,No-till,Perennial rye grass planted in 2014 and not tilled since then. Grower reported irrigating approximately 2x per season.,NA,OregonState,Woodburn,OSU3,44.737333,-123.27097
WoNT1 - 2,SHM - No-till,SHM,CROP,No-till,No-till,Perennial rye grass planted in 2014 and not tilled since then. Grower reported irrigating approximately 2x per season.,NA,OregonState,Woodburn,OSU3,44.737333,-123.27107
WoNT1 - 3,SHM - No-till,SHM,CROP,No-till,No-till,Perennial rye grass planted in 2014 and not tilled since then. Grower reported irrigating approximately 2x per season.,NA,OregonState,Woodburn,OSU3,44.737633,-123.27077
JoV1 - 1,SHM - Vineyard,SHM,CROP,Conservation,Vineyard,Rootstock was established over 10 years ago. Grasses and forbs are grown in rows in between as a cover crop; light discing occurs periodically but not annually.,NA,OregonState,Jory,OSU4,45.24882,-123.07116
JoV1 - 2,SHM - Vineyard,SHM,CROP,Conservation,Vineyard,Rootstock was established over 10 years ago. Grasses and forbs are grown in rows in between as a cover crop; light discing occurs periodically but not annually.,NA,OregonState,Jory,OSU4,45.24882,-123.07126
JoV1 - 3,SHM - Vineyard,SHM,CROP,Conservation,Vineyard,Rootstock was established over 10 years ago. Grasses and forbs are grown in rows in between as a cover crop; light discing occurs periodically but not annually.,NA,OregonState,Jory,OSU4,45.24912,-123.07096
WoH1 - 1,Ref - Hazelnut,Ref,ORCHARD,Perennial,Hazelnut,"Hazelnut orchard is about 30 years old, no ground cover evident. No tillage occurs now, but heavy equipment is often driven over the surface, especially for harvest.",NA,OregonState,Woodburn,OSU5,45.2279,-122.96961
WoH1 - 2,Ref - Hazelnut,Ref,ORCHARD,Perennial,Hazelnut,"Hazelnut orchard is about 30 years old, no ground cover evident. No tillage occurs now, but heavy equipment is often driven over the surface, especially for harvest.",NA,OregonState,Woodburn,OSU5,45.2278,-122.96961
WoH1 - 3,Ref - Hazelnut,Ref,ORCHARD,Perennial,Hazelnut,"Hazelnut orchard is about 30 years old, no ground cover evident. No tillage occurs now, but heavy equipment is often driven over the surface, especially for harvest.",NA,OregonState,Woodburn,OSU5,45.2279,-122.96981
WoCT1 - 1,BAU - Conventional till,BAU,CROP,Till,Conventional till,"Perennial ryegrass, tilled regularly (~2-3 years) to a depth of ~12 inches (30 cm)",NA,OregonState,Woodburn,OSU6,45.231102,-122.964818
WoCT1 - 2,BAU - Conventional till,BAU,CROP,Till,Conventional till,"Perennial ryegrass, tilled regularly (~2-3 years) to a depth of ~12 inches (30 cm)",NA,OregonState,Woodburn,OSU6,45.231202,-122.964718
WoCT1 - 3,BAU - Conventional till,BAU,CROP,Till,Conventional till,"Perennial ryegrass, tilled regularly (~2-3 years) to a depth of ~12 inches (30 cm)",NA,OregonState,Woodburn,OSU6,45.231402,-122.964618
WoNT2 - 1,SHM - No-till,SHM,GRASS,No-till,No-till,"Orchard grass, 18 years with no tillage.",NA,OregonState,Woodburn,OSU7,45.07067,-123.21367
WoNT2 - 2,SHM - No-till,SHM,GRASS,No-till,No-till,"Orchard grass, 18 years with no tillage.",NA,OregonState,Woodburn,OSU7,45.07057,-123.21377
WoNT2 - 3,SHM - No-till,SHM,GRASS,No-till,No-till,"Orchard grass, 18 years with no tillage.",NA,OregonState,Woodburn,OSU7,45.07097,-123.21387
WoH2 - 1,Ref - Hazelnut,Ref,ORCHARD,Perennial,Hazelnut,"Mature hazelnut orchard, about 25 years old",NA,OregonState,Woodburn,OSU8,45.074334,-123.213416
WoH2 - 2,Ref - Hazelnut,Ref,ORCHARD,Perennial,Hazelnut,"Mature hazelnut orchard, about 25 years old",NA,OregonState,Woodburn,OSU8,45.074334,-123.213516
WoH2 - 3,Ref - Hazelnut,Ref,ORCHARD,Perennial,Hazelnut,"Mature hazelnut orchard, about 25 years old",NA,OregonState,Woodburn,OSU8,45.074334,-123.213616
JoXT1 - 1,BAU - Christmas tree,BAU,CROP,Till,Christmas tree,"2-year-old Noble Fir trees planted one year ago. Site has been in Christmas trees since 1955. Used to rototill between rotations, but now limit tillage to some light discing. Left fallow for the summer before planting this crop, and some Sudan grass planted for a year before that.",NA,OregonState,Jory,OSU9,44.4319,-123.33523
JoXT1 - 2,BAU - Christmas tree,BAU,CROP,Till,Christmas tree,"2-year-old Noble Fir trees planted one year ago. Site has been in Christmas trees since 1955. Used to rototill between rotations, but now limit tillage to some light discing. Left fallow for the summer before planting this crop, and some Sudan grass planted for a year before that.",NA,OregonState,Jory,OSU9,44.4318,-123.33533
JoXT1 - 3,BAU - Christmas tree,BAU,CROP,Till,Christmas tree,"2-year-old Noble Fir trees planted one year ago. Site has been in Christmas trees since 1955. Used to rototill between rotations, but now limit tillage to some light discing. Left fallow for the summer before planting this crop, and some Sudan grass planted for a year before that.",NA,OregonState,Jory,OSU9,44.4316,-123.33503
JoF3 - 1,Ref - Forest,Ref,FOREST,Perennial,Forest,"Weyerhauser 2nd growth timber, 24 years old. Minimally managed",NA,OregonState,Jory,OSU10,44.74261,-123.41895
JoF3 - 2,Ref - Forest,Ref,FOREST,Perennial,Forest,"Weyerhauser 2nd growth timber, 24 years old. Minimally managed",NA,OregonState,Jory,OSU10,44.74261,-123.41905
JoF3 - 3,Ref - Forest,Ref,FOREST,Perennial,Forest,"Weyerhauser 2nd growth timber, 24 years old. Minimally managed",NA,OregonState,Jory,OSU10,44.74261,-123.41875
JoV2 - 1,SHM - Vineyard,SHM,CROP,Conservation,Vineyard,"18 years with same vines, ~1200/acre, 7’ spacing, all pinot noir. Planted to wheat and cherry beforehand. Disced and rototilled in early 2019 due to excessive voles, to about 2-4” in depth. Sprayed on 6/10 with micronized sulfur and a bacillus-based mold treatment. No irrigation at this site.",NA,OregonState,Jory,OSU11,45.251054,-123.049801
JoV2 - 2,SHM - Vineyard,SHM,CROP,Conservation,Vineyard,"18 years with same vines, ~1200/acre, 7’ spacing, all pinot noir. Planted to wheat and cherry beforehand. Disced and rototilled in early 2019 due to excessive voles, to about 2-4” in depth. Sprayed on 6/10 with micronized sulfur and a bacillus-based mold treatment. No irrigation at this site.",NA,OregonState,Jory,OSU11,45.250954,-123.049901
JoV2 - 3,SHM - Vineyard,SHM,CROP,Conservation,Vineyard,"18 years with same vines, ~1200/acre, 7’ spacing, all pinot noir. Planted to wheat and cherry beforehand. Disced and rototilled in early 2019 due to excessive voles, to about 2-4” in depth. Sprayed on 6/10 with micronized sulfur and a bacillus-based mold treatment. No irrigation at this site.",NA,OregonState,Jory,OSU11,45.251354,-123.049601
JoXT2 - 1,BAU - Christmas tree,BAU,CROP,Till,Christmas tree,"9 years planted in noble fir. Prior to planting, was tilled to 25 cm, limed, and left fallow for 1 year with a sudangrass cover crop.",NA,OregonState,Jory,OSU12,45.04997,-123.13708
JoXT2 - 2,BAU - Christmas tree,BAU,CROP,Till,Christmas tree,"9 years planted in noble fir. Prior to planting, was tilled to 25 cm, limed, and left fallow for 1 year with a sudangrass cover crop.",NA,OregonState,Jory,OSU12,45.04987,-123.13718
JoXT2 - 3,BAU - Christmas tree,BAU,CROP,Till,Christmas tree,"9 years planted in noble fir. Prior to planting, was tilled to 25 cm, limed, and left fallow for 1 year with a sudangrass cover crop.",NA,OregonState,Jory,OSU12,45.04997,-123.13688
JoXT3 - 1,BAU - Christmas tree,BAU,CROP,Till,Christmas tree,"Property bought in 2015 by landowner, planted in noble fir in 2016 at the location of the pit. Some grand fir and Douglas-fir observed in other parts of plot.",NA,OregonState,Jory,OSU13,44.910377,-122.90909
JoXT3 - 2,BAU - Christmas tree,BAU,CROP,Till,Christmas tree,"Property bought in 2015 by landowner, planted in noble fir in 2016 at the location of the pit. Some grand fir and Douglas-fir observed in other parts of plot.",NA,OregonState,Jory,OSU13,44.910277,-122.90899
JoXT3 - 3,BAU - Christmas tree,BAU,CROP,Till,Christmas tree,"Property bought in 2015 by landowner, planted in noble fir in 2016 at the location of the pit. Some grand fir and Douglas-fir observed in other parts of plot.",NA,OregonState,Jory,OSU13,44.910077,-122.90889
JoV3 - 1,SHM - Vineyard,SHM,CROP,Conservation,Vineyard,"Pinot noir plot with 1210 vines/acre, planted in 2006. Disced to ~10 cm annually, planted with cover crop to stress vines. Every 8th row planted with wildflowers to attract pollinators.",NA,OregonState,Jory,OSU14,45.037101,-123.130763
JoV3 - 2,SHM - Vineyard,SHM,CROP,Conservation,Vineyard,"Pinot noir plot with 1210 vines/acre, planted in 2006. Disced to ~10 cm annually, planted with cover crop to stress vines. Every 8th row planted with wildflowers to attract pollinators.",NA,OregonState,Jory,OSU14,45.037201,-123.130863
JoV3 - 3,SHM - Vineyard,SHM,CROP,Conservation,Vineyard,"Pinot noir plot with 1210 vines/acre, planted in 2006. Disced to ~10 cm annually, planted with cover crop to stress vines. Every 8th row planted with wildflowers to attract pollinators.",NA,OregonState,Jory,OSU14,45.037101,-123.130563
WoH3 - 1,Ref - Hazelnut,Ref,ORCHARD,Perennial,Hazelnut,"Hazelnut orchard planted in 1976. The understory was completely depauperate, partially due to periodic spraying for weeds. There were some trees affected by hazelnut blight, and the orchard was treated with lime in 2014",NA,OregonState,Woodburn,OSU15,44.94845,-122.86279
WoH3 - 2,Ref - Hazelnut,Ref,ORCHARD,Perennial,Hazelnut,"Hazelnut orchard planted in 1976. The understory was completely depauperate, partially due to periodic spraying for weeds. There were some trees affected by hazelnut blight, and the orchard was treated with lime in 2015",NA,OregonState,Woodburn,OSU15,44.94855,-122.86289
WoH3 - 3,Ref - Hazelnut,Ref,ORCHARD,Perennial,Hazelnut,"Hazelnut orchard planted in 1976. The understory was completely depauperate, partially due to periodic spraying for weeds. There were some trees affected by hazelnut blight, and the orchard was treated with lime in 2016",NA,OregonState,Woodburn,OSU15,44.94815,-122.86259
WoCT2 - 1,BAU - Conventional till,BAU,CROP,Till,Conventional till,"Perennial ryegrass, planted in 2016. It was planted to onions beforehand. The ryegrass typically stays in for 3 years.  Then the grower row crops the ground for 2-3 years, and the max depth they reach is 18”.",NA,OregonState,Woodburn,OSU16,45.014134,-122.842842
WoCT2 - 2,BAU - Conventional till,BAU,CROP,Till,Conventional till,"Perennial ryegrass, planted in 2016. It was planted to onions beforehand. The ryegrass typically stays in for 3 years.  Then the grower row crops the ground for 2-3 years, and the max depth they reach is 18”.",NA,OregonState,Woodburn,OSU16,45.014034,-122.842742
WoCT2 - 3,BAU - Conventional till,BAU,CROP,Till,Conventional till,"Perennial ryegrass, planted in 2016. It was planted to onions beforehand. The ryegrass typically stays in for 3 years.  Then the grower row crops the ground for 2-3 years, and the max depth they reach is 18”.",NA,OregonState,Woodburn,OSU16,45.013834,-122.843042
WoCT3 - 1,BAU - Conventional till,BAU,CROP,Till,Conventional till,Perennial ryegrass field planted in 2016. Tilled to corn and peas beforehand.,NA,OregonState,Woodburn,OSU17,45.1251,-123.06167
WoCT3 - 2,BAU - Conventional till,BAU,CROP,Till,Conventional till,Perennial ryegrass field planted in 2016. Tilled to corn and peas beforehand.,NA,OregonState,Woodburn,OSU17,45.1251,-123.06201
WoCT3 - 3,BAU - Conventional till,BAU,CROP,Till,Conventional till,Perennial ryegrass field planted in 2016. Tilled to corn and peas beforehand.,NA,OregonState,Woodburn,OSU17,45.1248,-123.06134
WoNT3 - 1,SHM - No-till,SHM,CROP,No-till,No-till,"Planted in 2012 to tall fescue, per the farmer. He also indicates that the field is non-irrigated and that they take extra care to reduce disturbance to the soil whenever possible.",NA,OregonState,Woodburn,OSU18,44.950981,-122.856544
WoNT3 - 2,SHM - No-till,SHM,CROP,No-till,No-till,"Planted in 2012 to tall fescue, per the farmer. He also indicates that the field is non-irrigated and that they take extra care to reduce disturbance to the soil whenever possible.",NA,OregonState,Woodburn,OSU18,44.950981,-122.856644
WoNT3 - 3,SHM - No-till,SHM,CROP,No-till,No-till,"Planted in 2012 to tall fescue, per the farmer. He also indicates that the field is non-irrigated and that they take extra care to reduce disturbance to the soil whenever possible.",NA,OregonState,Woodburn,OSU18,44.950981,-122.856744
PaN1-1,SHM - No-till silage corn,SHM,CROP,No-till,No-till silage corn,"A area plots (Peters' plots) at Uconn Agriculture Research Farm, Storrs, CT, no-till, no manure",NA,UConn,Woodbridge,N1,41.797167,-72.22985
PaT1-1,BAU - Conv till silage corn,BAU,CROP,Till,Conv till silage corn,"A area plots (Peters' plots) at UConn agriculture Research farm, Storrs, CT, conventional till, no manure",NA,UConn,Woodbridge,T1,41.79725,-72.229722
PaT1-2,BAU - Conv till silage corn,BAU,CROP,Till,Conv till silage corn,"A area plots (Peters' plots) at UConn agriculture Research farm, Storrs, CT, conventional till, no manure",NA,UConn,Woodbridge,T1,41.797389,-72.2300556
PaN1-2,SHM - No-till silage corn,SHM,CROP,No-till,No-till silage corn,"A area plots (Peters' plots) at Uconn Agriculture Research Farm, Storrs, CT, no-till, no manure",NA,UConn,Woodbridge,N1,41.7975278,-72.23025
PaN1-3,SHM - No-till silage corn,SHM,CROP,No-till,No-till silage corn,"A area plots (Peters' plots) at Uconn Agriculture Research Farm, Storrs, CT, no-till, no manure",NA,UConn,Woodbridge,N1,41.79775,-72.2305556
PaT1-3,BAU - Conv till silage corn,BAU,CROP,Till,Conv till silage corn,"A area plots (Peters' plots) at Uconn Agriculture Research Farm, Storrs, CT, no-till, no manure",NA,UConn,Woodbridge,T1,41.7975833,-72.2303333
PaM1-1,Ref - Managed forest,Ref,FOREST,Perennial,Managed forest,"UConn forest east of Horsebarn Hill, Storrs, CT, Stand D, oak/ hickory upland hardwoof, thinned 2013",NA,UConn,Canton,M1,41.8184833,-72.23745
PaM1-2,Ref - Managed forest,Ref,FOREST,Perennial,Managed forest,"UConn forest east of Horsebarn Hill, Storrs, CT, Stand D, oak/ hickory upland hardwoof, thinned 2013",NA,UConn,Canton,M1,41.8185,-72.2377833
PaU1-1,Ref - Unmanaged forest,Ref,FOREST,Perennial,Unmanaged forest,"UConn forest east of Horsebarn Hill, Storrs, CT, Stand C, oak/ hickory upland hardwood, no recent management",NA,UConn,Woodbridge,U1,41.8184333,-72.2388333
PaU1-2,Ref - Unmanaged forest,Ref,FOREST,Perennial,Unmanaged forest,"UConn forest east of Horsebarn Hill, Storrs, CT, Stand C, oak/ hickory upland hardwood, no recent management",NA,UConn,Woodbridge,U1,41.818491,-72.238939
PaM2-1,SHM - Managed forest,SHM,FOREST,Perennial,Managed forest,"UConn forest east of Horsebarn Hill, Storrs, CT, Stand B, ash-dominated, thinned 2013",NA,UConn,Woodbridge,M2,41.8207833,-72.25135
PaM2-2,SHM - Managed forest,SHM,FOREST,Perennial,Managed forest,"UConn forest east of Horsebarn Hill, Storrs, CT, Stand B, ash-dominated, thinned 2014",NA,UConn,Woodbridge,M2,41.821,-72.2543056
PaU2-1,Ref - Unmanaged forest,Ref,FOREST,Perennial,Unmanaged forest,"UConn forest east of Horsebarn Hill, Storrs, CT, Stand A, ash- dominated, no recent management",NA,UConn,Woodbridge,U2,41.8216111,-72.2532778
PaU2-2,Ref - Unmanaged forest,Ref,FOREST,Perennial,Unmanaged forest,"UConn forest east of Horsebarn Hill, Storrs, CT, Stand A, ash- dominated, no recent management",NA,UConn,Woodbridge,U2,41.82161667,-72.25333
PaL1-1,SHM - Lawn,SHM,GRASS,No-till,Lawn,"Will Ouimet residential lawn, Mansfield, CT",NA,UConn,Woodbridge,L1,41.7995278,-72.188333
PaL1-2,SHM - Lawn,SHM,GRASS,No-till,Lawn,"Will Ouimet residential lawn, Mansfield, CT",NA,UConn,Woodbridge,L1,41.7995556,-72.18838889
PaL2-1,SHM - Lawn,SHM,GRASS,No-till,Lawn,"Nels Barrett residential lawn, Mansfield, CT",NA,UConn,Canton,L2,41.800011,-72.189595
PaL2-2,SHM - Lawn,SHM,GRASS,No-till,Lawn,"Nels Barrett residential lawn, Mansfield, CT",NA,UConn,Canton,L2,41.80006,-72.1895
PaH1-1,SHM - Hayland,SHM,GRASS,No-till,Hayland,"Valleyside hayfield, Woodstock, CT",NA,UConn,Montauk,H1,41.9655,-71.9745277
PaH1-2,SHM - Hayland,SHM,GRASS,No-till,Hayland,"Valleyside hayfield, Woodstock, CT",NA,UConn,Montauk,H1,41.96552778,-71.9745556
PaN2-1,SHM - No-till silage corn,SHM,CROP,No-till,No-till silage corn,"Valleyside Farm, Woodstock, CT, corn, occasionally no-till, with manure",NA,UConn,Montauk,N2,41.9655556,-71.9746667
PaN2-2,SHM - No-till silage corn,SHM,CROP,No-till,No-till silage corn,"Valleyside Farm, Woodstock, CT, corn, occasionally no-till, with manure",NA,UConn,Montauk,N2,41.9654722,-71.97463889
PaN2-3,SHM - No-till silage corn,SHM,CROP,No-till,No-till silage corn,"Valleyside Farm, Woodstock, CT, corn, occasionally no-till, with manure",NA,UConn,Montauk,N2,41.96552778,-71.9746667
PaH2-1,SHM - Hayland,SHM,GRASS,No-till,Hayland,"Mountain Dairy farm, Mansfield, CT, hayfield",NA,UConn,Woodbridge,H2,41.7541111,-72.2346389
PaH2-2,SHM - Hayland,SHM,GRASS,No-till,Hayland,"Mountain Dairy farm, Mansfield, CT, hayfield",NA,UConn,Woodbridge,H2,41.7541389,-72.2345833
PaT2-1,BAU - Conv till silage corn,BAU,CROP,Till,Conv till silage corn,"Mountain Dairy farm, Mansfield, CT, corn field, conventional till, with manure",NA,UConn,Woodbridge,T2,41.7537778,-72.2351944
PaT2-2,BAU - Conv till silage corn,BAU,CROP,Till,Conv till silage corn,"Mountain Dairy farm, Mansfield, CT, corn field, conventional till, with manure",NA,UConn,Woodbridge,T2,41.7538,-72.2351833
PaT2-3,BAU - Conv till silage corn,BAU,CROP,Till,Conv till silage corn,"Mountain Dairy farm, Mansfield, CT, corn field, conventional till, with manure",NA,UConn,Woodbridge,T2,41.7537833,-72.23521667
AX1-1,BAU - Conventional Till,BAU,CROP,Till,Conventional Till,"Conventional tillage with a sorghum, sesame, cotton rotation",NA,UTRGV,Hidalgo,UTRGV1,26.37183,-97.86129
AX1-2,BAU - Conventional Till,BAU,CROP,Till,Conventional Till,"Conventional tillage with a sorghum, sesame, cotton rotation",NA,UTRGV,Hidalgo,UTRGV1,26.376803,-97.861285
AX1-3,BAU - Conventional Till,BAU,CROP,Till,Conventional Till,"Conventional tillage with a sorghum, sesame, cotton rotation",NA,UTRGV,Hidalgo,UTRGV1,26.381147,-97.861396
AX2-1,BAU - Conventional Till,BAU,CROP,Till,Conventional Till,"Conventional tillage with a cotton, sorghum rotation",NA,UTRGV,Hidalgo,UTRGV2,26.372257,-97.860439
AX2-2,BAU - Conventional Till,BAU,CROP,Till,Conventional Till,"Conventional tillage with a cotton, sorghum rotation",NA,UTRGV,Hidalgo,UTRGV2,26.372359,-97.854799
AX2-3,BAU - Conventional Till,BAU,CROP,Till,Conventional Till,"Conventional tillage with a cotton, sorghum rotation",NA,UTRGV,Hidalgo,UTRGV2,26.372348,-97.841816
AX3-1,BAU - Conventional Till,BAU,CROP,Till,Conventional Till,"Conventional tillage with a cotton, corn, and sorghum rotation",NA,UTRGV,Hidalgo,UTRGV3,26.449237,-97.845711
AX3-2,BAU - Conventional Till,BAU,CROP,Till,Conventional Till,"Conventional tillage with a cotton, corn, and sorghum rotation",NA,UTRGV,Hidalgo,UTRGV3,26.45138326,-97.84310718
AX3-3,BAU - Conventional Till,BAU,CROP,Till,Conventional Till,"Conventional tillage with a cotton, corn, and sorghum rotation",NA,UTRGV,Hidalgo,UTRGV3,26.451224,-97.842418
AY1-1,BAU - Intermittent Till,BAU,CROP,Till,Intermittent Till,"Strip tillage for 2 years, followed by return to conventional till for herbicide resistant weed management. Sorghum/cotton rotation.",NA,UTRGV,Hidalgo,UTRGV4,26.429164,-97.87775
AY1-2,BAU - Intermittent Till,BAU,CROP,Till,Intermittent Till,"Strip tillage for 2 years, followed by return to conventional till for herbicide resistant weed management. Sorghum/cotton rotation.",NA,UTRGV,Hidalgo,UTRGV4,26.428431,-97.876675
AY1-3,BAU - Intermittent Till,BAU,CROP,Till,Intermittent Till,"Strip tillage for 2 years, followed by return to conventional till for herbicide resistant weed management. Sorghum/cotton rotation.",NA,UTRGV,Hidalgo,UTRGV4,26.423498,-97.878012
AY2-1,BAU - Intermittent Till,BAU,CROP,Till,Intermittent Till,"Strip tillage for 3 years, followed by return to conventional till for herbicide resistant weed management. Sorghum/cotton rotation.",NA,UTRGV,Hidalgo,UTRGV5,26.417867,-97.87736
AY2-2,BAU - Intermittent Till,BAU,CROP,Till,Intermittent Till,"Strip tillage for 3 years, followed by return to conventional till for herbicide resistant weed management. Sorghum/cotton rotation.",NA,UTRGV,Hidalgo,UTRGV5,26.408338,-97.877546
AY2-3,BAU - Intermittent Till,BAU,CROP,Till,Intermittent Till,"Strip tillage for 3 years, followed by return to conventional till for herbicide resistant weed management. Sorghum/cotton rotation.",NA,UTRGV,Hidalgo,UTRGV5,26.408107,-97.867819
AY3-1,BAU - Intermittent Till,BAU,CROP,Till,Intermittent Till,"Strip tillage for 2 years, followed by return to conventional till for herbicide resistant weed management. Sorghum/cotton rotation.",NA,UTRGV,Hidalgo,UTRGV6,26.378011,-97.894115
AY3-2,BAU - Intermittent Till,BAU,CROP,Till,Intermittent Till,"Strip tillage for 2 years, followed by return to conventional till for herbicide resistant weed management. Sorghum/cotton rotation.",NA,UTRGV,Hidalgo,UTRGV6,26.371559,-97.882158
AY3-3,BAU - Intermittent Till,BAU,CROP,Till,Intermittent Till,"Strip tillage for 2 years, followed by return to conventional till for herbicide resistant weed management. Sorghum/cotton rotation.",NA,UTRGV,Hidalgo,UTRGV6,26.371856,-97.881485
AZ1-1,BAU - Strip Till,BAU,CROP,Till,Strip Till,Strip tillage for 4 years with a cotton/sorghum rotation.,NA,UTRGV,Hidalgo,UTRGV7,26.442916,-97.814156
